,order_id,creation_date,session_date,movie_id,movie_age_restriction,movie_rating,number_of_tickets,ticket_price
0,2441412,2020-03-07,2020-03-07,32452,12+,7.7,2,31.6455696202531
1,2169133,2020-02-03,2020-02-04,32452,12+,7.7,4,47.4683544303797
2,2187694,2020-02-06,2020-02-06,32452,12+,7.7,2,23.7341772151898
3,2182225,2020-02-05,2020-02-05,32452,12+,7.7,2,23.7341772151898
4,2209967,2020-02-08,2020-02-12,32452,12+,7.7,3,44.3037974683544
5,2206635,2020-02-08,2020-02-08,32452,12+,7.7,2,77.5316455696202
6,2305515,2020-02-19,2020-02-19,32452,12+,7.7,1,31.6455696202531
7,2184412,2020-02-05,2020-02-05,32452,12+,7.7,2,30.0632911392405
8,2222760,2020-02-10,2020-02-10,32452,12+,7.7,2,34.8101265822784
9,2175826,2020-02-04,2020-02-04,32452,12+,7.7,2,39.5569620253164
10,2218214,2020-02-09,2020-02-09,32452,12+,7.7,4,88.6075949367088
11,2137200,2020-01-30,2020-01-30,32452,12+,7.7,3,63.2911392405063
12,2219544,2020-02-10,2020-02-10,32452,12+,7.7,2,126.582278481012
13,2169821,2020-02-03,2020-02-05,32452,12+,7.7,2,23.7341772151898
14,2129092,2020-01-28,2020-01-30,32452,12+,7.7,2,94.9367088607595
15,2213662,2020-02-09,2020-02-09,32452,12+,7.7,2,41.1392405063291
16,2213401,2020-02-09,2020-02-09,32452,12+,7.7,2,52.2151898734177
17,2365512,2020-02-24,2020-02-24,32452,12+,7.7,1,74.3670886075949
18,2143498,2020-01-31,2020-01-31,32452,12+,7.7,2,44.3037974683544
19,2640166,2020-09-25,2020-09-27,50481,,0.0,3,18.9873417721519
20,2162122,2020-02-02,2020-02-02,32452,12+,7.7,1,26.8987341772151
21,2280703,2020-02-16,2020-02-16,32452,12+,7.7,2,34.8101265822784
22,2100475,2020-01-24,2020-01-24,32600,18+,0.0,2,63.2911392405063
23,1969570,2020-01-03,2020-01-03,29861,6+,0.0,3,55.379746835443
24,2088277,2020-01-21,2020-01-21,32600,18+,0.0,2,22.1518987341772
25,2107830,2020-01-25,2020-01-25,32600,18+,0.0,2,50.632911392405
26,1944043,2020-01-01,2020-01-01,29861,6+,0.0,2,55.379746835443
27,2043521,2020-01-12,2020-01-13,32600,18+,0.0,2,25.3164556962025
28,2092664,2020-01-22,2020-01-22,32600,18+,0.0,2,63.2911392405063
29,2068665,2020-01-18,2020-01-18,32600,18+,0.0,2,31.6455696202531
30,2066641,2020-01-17,2020-01-17,32600,18+,0.0,2,87.0253164556962
31,2506006,2020-03-20,2020-03-21,41254,12+,0.0,2,44.3037974683544
32,1956339,2020-01-02,2020-01-03,29861,6+,0.0,3,31.6455696202531
33,2029144,2020-01-11,2020-01-11,32600,18+,0.0,2,50.632911392405
34,2028173,2020-01-10,2020-01-12,29861,6+,0.0,5,28.4810126582278
35,2081621,2020-01-19,2020-01-19,32600,18+,0.0,3,85.4430379746835
36,2039143,2020-01-12,2020-01-12,32600,18+,0.0,2,68.0379746835443
37,2122310,2020-01-26,2020-01-26,32600,18+,0.0,2,56.9620253164556
38,2044799,2020-01-13,2020-01-13,32600,18+,0.0,1,15.8227848101265
39,2058898,2020-01-16,2020-01-17,32600,18+,0.0,2,47.4683544303797
40,2021421,2020-01-09,2020-01-11,32600,18+,0.0,2,61.7088607594936
41,2045775,2020-01-13,2020-01-14,32600,18+,0.0,1,20.5696202531645
42,2282151,2020-02-16,2020-02-16,36253,6+,0.0,2,55.379746835443
43,2370586,2020-02-25,2020-02-25,36253,6+,0.0,2,23.7341772151898
44,2399144,2020-02-29,2020-02-29,36253,6+,0.0,4,69.6202531645569
45,2402852,2020-02-29,2020-03-01,36253,6+,0.0,3,23.7341772151898
46,2389305,2020-02-28,2020-02-28,36253,6+,0.0,2,60.126582278481
47,2463102,2020-03-09,2020-03-09,36253,6+,0.0,2,30.0632911392405
48,2341657,2020-02-22,2020-02-23,36253,6+,0.0,2,18.9873417721519
